선수명,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR
노시환,한화,131,595,514,153,31,85,101,74,118,2,0.332,0.298,0.388,0.541,0.929,0.408,6.63
최정,SSG,128,552,471,140,29,94,87,59,87,7,0.307,0.297,0.388,0.548,0.936,0.409,6.09
김혜성,Hero,137,621,556,186,7,104,57,57,77,25,0.375,0.335,0.396,0.446,0.842,0.385,5.97
홍창기,LG,141,643,524,174,1,109,65,88,83,23,0.388,0.332,0.444,0.412,0.856,0.406,5.63
양의지,두산,129,510,439,134,17,56,68,57,56,8,0.317,0.305,0.396,0.474,0.87,0.39,5.29
구자욱,삼성,119,515,453,152,11,65,71,53,81,12,0.387,0.336,0.407,0.494,0.901,0.408,4.94
오스틴,LG,139,583,520,163,23,87,95,53,75,7,0.327,0.313,0.376,0.517,0.893,0.395,4.46
박건우,NC,130,533,458,146,12,70,85,56,71,7,0.349,0.319,0.397,0.48,0.877,0.397,4.39
문보경,LG,131,542,469,141,10,77,72,58,84,9,0.346,0.301,0.377,0.446,0.823,0.376,4.23
손아섭,NC,140,609,551,187,5,97,65,50,67,14,0.376,0.339,0.393,0.443,0.836,0.382,4.07
정수빈,두산,137,583,498,143,2,75,33,64,63,39,0.324,0.287,0.375,0.371,0.746,0.354,4.02
강민호,삼성,125,495,434,126,16,60,77,49,65,6,0.307,0.29,0.366,0.445,0.811,0.365,3.96
나성범,KIA,58,253,222,81,18,51,57,26,36,0,0.366,0.365,0.427,0.671,1.098,0.47,3.95
최형우,KIA,121,508,431,130,17,64,81,65,82,0,0.336,0.302,0.4,0.487,0.887,0.402,3.93
오지환,LG,126,502,422,113,8,65,62,64,82,16,0.313,0.268,0.371,0.396,0.767,0.36,3.82
박민우,NC,124,509,452,143,2,76,46,41,57,26,0.356,0.316,0.381,0.405,0.786,0.364,3.72
소크라테스*,KIA,142,608,547,156,20,91,96,52,80,15,0.299,0.285,0.344,0.463,0.807,0.357,3.68
에레디아,SSG,122,523,473,153,12,76,76,39,75,12,0.364,0.323,0.385,0.461,0.846,0.382,3.66
이정후,Hero,86,387,330,105,6,50,45,49,23,5,0.324,0.318,0.406,0.455,0.861,0.389,3.58
전준우,롯데,138,559,493,154,17,80,77,52,65,9,0.328,0.312,0.381,0.471,0.852,0.381,3.51
마틴,NC,118,503,435,123,17,55,90,57,107,15,0.33,0.283,0.36,0.455,0.815,0.365,3.49
김도영,KIA,84,385,340,103,7,72,47,39,62,25,0.349,0.303,0.371,0.453,0.824,0.374,3.47
장성우,KT,131,464,410,118,11,37,65,42,70,1,0.318,0.288,0.351,0.422,0.773,0.351,3.32
박동원,LG,130,481,409,102,20,54,75,49,90,0,0.267,0.249,0.334,0.443,0.777,0.346,3.29
알포드,KT,133,547,491,142,15,83,70,47,140,17,0.375,0.289,0.356,0.456,0.812,0.367,3.24
박찬호,KIA,130,507,452,136,3,73,52,40,56,30,0.333,0.301,0.356,0.378,0.734,0.341,3.18
황재균,KT,109,457,407,120,6,62,49,45,64,3,0.337,0.295,0.366,0.413,0.779,0.359,2.97
최재훈,한화,125,417,327,81,1,23,33,56,48,1,0.286,0.248,0.392,0.294,0.686,0.345,2.9
문성주,LG,136,534,449,132,2,77,57,67,34,24,0.313,0.294,0.393,0.372,0.765,0.366,2.82
안치홍,롯데,121,494,425,124,8,57,63,49,53,3,0.314,0.292,0.374,0.4,0.774,0.358,2.81
김지찬,삼성,99,355,291,85,1,59,18,48,36,13,0.331,0.292,0.408,0.33,0.738,0.363,2.7
김선빈,KIA,119,473,419,134,0,41,48,38,26,3,0.338,0.32,0.381,0.358,0.739,0.349,2.68
박성한,SSG,128,529,459,122,9,53,47,58,56,4,0.284,0.266,0.347,0.366,0.713,0.333,2.65
로하스,두산,122,464,403,102,19,52,65,55,68,0,0.26,0.253,0.345,0.474,0.819,0.366,2.44
이재현,삼성,143,538,458,114,12,61,60,52,89,5,0.281,0.249,0.33,0.378,0.708,0.327,2.31
도슨,Hero,57,261,229,77,3,37,29,18,41,9,0.389,0.336,0.398,0.454,0.852,0.39,2.3
권희동,NC,96,373,309,88,7,33,63,49,50,2,0.315,0.285,0.388,0.405,0.793,0.37,2.3
유강남,롯데,121,403,352,92,10,45,55,37,64,1,0.291,0.261,0.342,0.384,0.726,0.334,2.3
이주형(38),Hero,51,227,200,66,6,30,34,19,48,3,0.405,0.33,0.396,0.515,0.911,0.406,2.2
김상수,KT,129,512,443,120,3,58,56,55,68,5,0.312,0.271,0.353,0.339,0.692,0.33,2.19
박해민,LG,144,558,485,138,6,80,59,45,74,26,0.325,0.285,0.348,0.359,0.707,0.331,2.18
노진혁,롯데,113,390,334,86,4,43,51,45,84,7,0.328,0.257,0.347,0.374,0.721,0.338,2.18
김재호,두산,91,302,247,70,3,32,29,30,24,4,0.302,0.283,0.376,0.372,0.748,0.352,2.12
박병호,KT,132,493,431,122,18,53,87,46,114,2,0.339,0.283,0.357,0.443,0.8,0.359,2.11
박승욱,롯데,123,338,290,83,0,37,30,35,87,15,0.407,0.286,0.364,0.369,0.733,0.347,2.05
추신수,SSG,112,462,382,97,12,65,41,65,79,6,0.29,0.254,0.379,0.398,0.777,0.365,2.04
김휘집,Hero,110,435,369,92,8,46,51,48,97,0,0.31,0.249,0.338,0.374,0.712,0.331,1.95
이우성,KIA,126,400,355,107,8,39,58,31,81,8,0.368,0.301,0.363,0.417,0.78,0.353,1.87
피렐라,삼성,139,605,557,159,16,66,80,42,69,6,0.302,0.285,0.339,0.425,0.764,0.343,1.86
채은성,한화,137,596,521,137,23,71,84,52,102,0,0.286,0.263,0.351,0.428,0.779,0.349,1.85
하재훈,SSG,77,229,201,61,7,35,35,19,53,11,0.378,0.303,0.374,0.468,0.842,0.379,1.83
김민혁,KT,113,448,397,118,3,68,41,36,48,11,0.328,0.297,0.356,0.385,0.741,0.344,1.83
양석환,두산,140,582,524,147,21,73,89,41,133,4,0.331,0.281,0.333,0.454,0.787,0.347,1.76
김주원,NC,127,474,403,94,10,56,54,44,106,15,0.289,0.233,0.328,0.34,0.668,0.315,1.76
이진영,한화,121,422,358,89,10,57,50,53,127,5,0.35,0.249,0.344,0.394,0.738,0.342,1.7
배정대,KT,97,361,311,86,2,48,38,38,76,13,0.353,0.277,0.356,0.347,0.703,0.332,1.6
정보근,롯데,55,101,81,27,1,11,13,14,13,1,0.382,0.333,0.433,0.469,0.902,0.418,1.45
서호철,NC,114,435,397,114,5,50,41,20,52,4,0.317,0.287,0.331,0.383,0.714,0.327,1.41
김성윤,삼성,101,272,245,77,2,40,28,14,35,20,0.354,0.314,0.356,0.404,0.76,0.348,1.4
김현수,LG,133,556,488,143,6,53,88,58,53,2,0.314,0.293,0.364,0.383,0.747,0.345,1.39
허경민,두산,130,475,429,115,7,44,48,35,26,9,0.269,0.268,0.328,0.368,0.696,0.319,1.37
이창진,KIA,104,284,244,66,4,35,29,34,44,9,0.313,0.27,0.362,0.389,0.751,0.35,1.34
최주환,SSG,134,478,426,100,20,48,63,44,94,0,0.254,0.235,0.31,0.432,0.742,0.329,1.34
한유섬,SSG,109,388,333,91,7,29,55,34,81,2,0.333,0.273,0.355,0.393,0.748,0.345,1.33
최지훈,SSG,117,503,462,124,2,65,30,29,50,21,0.297,0.268,0.315,0.357,0.672,0.312,1.28
구드럼,롯데,50,201,173,51,0,16,28,23,46,0,0.389,0.295,0.373,0.387,0.76,0.355,1.27
문현빈,한화,137,481,428,114,5,47,49,33,84,5,0.317,0.266,0.324,0.362,0.686,0.316,1.25
도태훈,NC,117,302,239,56,5,41,23,38,48,2,0.273,0.234,0.376,0.322,0.698,0.343,1.2
러셀,Hero,59,239,220,63,4,20,42,17,39,1,0.331,0.286,0.339,0.4,0.739,0.337,1.15
강승호,두산,127,459,419,111,7,51,59,27,110,13,0.341,0.265,0.316,0.387,0.703,0.322,1.12
정훈,롯데,80,233,201,56,6,40,31,26,39,2,0.316,0.279,0.358,0.438,0.796,0.361,1.09
박세혁,NC,88,283,242,51,6,35,32,30,43,1,0.232,0.211,0.307,0.347,0.654,0.308,0.97
김민성,LG,112,316,273,68,8,34,41,25,58,2,0.287,0.249,0.326,0.377,0.703,0.324,0.96
김현준,삼성,109,479,433,119,3,62,46,30,84,5,0.332,0.275,0.327,0.346,0.673,0.314,0.92
최인호,한화,41,148,131,39,2,23,11,10,22,1,0.343,0.298,0.363,0.427,0.79,0.364,0.84
김민석,롯데,129,454,400,102,3,53,39,31,112,16,0.341,0.255,0.314,0.338,0.652,0.304,0.79
강백호,KT,71,271,238,63,8,32,39,31,55,3,0.311,0.265,0.347,0.416,0.763,0.343,0.77
김형준,NC,26,82,72,17,6,10,13,8,24,0,0.262,0.236,0.321,0.514,0.835,0.363,0.72
신민재,LG,122,331,282,78,0,47,28,29,34,37,0.312,0.277,0.344,0.309,0.653,0.313,0.7
박수종,Hero,23,50,45,19,0,7,3,3,6,0,0.475,0.422,0.46,0.533,0.993,0.451,0.69
김민식,SSG,122,318,266,58,5,28,34,31,57,0,0.257,0.218,0.302,0.316,0.618,0.291,0.69
이호연,KT,85,234,212,59,3,28,17,16,41,4,0.331,0.278,0.339,0.354,0.693,0.323,0.68
김성현,SSG,112,354,310,83,1,35,27,29,36,4,0.298,0.268,0.328,0.323,0.651,0.306,0.68
송성문,Hero,104,438,388,102,5,43,60,39,38,1,0.276,0.263,0.325,0.358,0.683,0.311,0.68
김태군,삼성,49,143,125,32,1,7,18,10,11,0,0.272,0.256,0.329,0.328,0.657,0.308,0.67
임지열,Hero,72,246,212,55,5,22,35,28,64,1,0.347,0.259,0.352,0.368,0.72,0.339,0.64
김동헌,Hero,102,242,211,51,2,22,17,17,55,0,0.312,0.242,0.318,0.313,0.631,0.3,0.63
류지혁,삼성,66,269,235,63,2,35,28,19,30,22,0.295,0.268,0.326,0.315,0.641,0.302,0.61
류지혁,KIA,66,253,220,59,0,28,17,27,43,4,0.331,0.268,0.355,0.305,0.66,0.319,0.54
고종욱,KIA,114,286,270,80,3,35,39,14,58,2,0.365,0.296,0.329,0.393,0.722,0.328,0.47
이원석,삼성,19,72,58,21,1,6,10,14,8,0,0.408,0.362,0.486,0.483,0.969,0.454,0.44
김태연,한화,91,280,245,64,4,25,25,27,59,5,0.323,0.261,0.337,0.363,0.7,0.325,0.43
최원준,KIA,67,274,239,61,1,37,23,31,39,13,0.302,0.255,0.341,0.331,0.672,0.322,0.42
이도윤,한화,106,346,309,78,1,36,13,18,55,11,0.304,0.252,0.302,0.317,0.619,0.289,0.4
한준수,KIA,48,94,86,22,2,9,12,7,26,0,0.345,0.256,0.312,0.372,0.684,0.314,0.38
박준영,두산,51,138,127,29,4,16,17,9,53,2,0.357,0.228,0.29,0.417,0.707,0.316,0.37
김인태,두산,47,115,98,25,1,8,14,15,26,2,0.338,0.255,0.36,0.337,0.697,0.336,0.33
안권수,롯데,95,309,268,72,2,42,29,30,40,16,0.306,0.269,0.341,0.321,0.662,0.313,0.32
이유찬,두산,104,239,210,51,1,31,16,20,51,12,0.314,0.243,0.316,0.31,0.626,0.299,0.32
김성욱,NC,93,204,179,40,6,28,16,16,63,6,0.306,0.223,0.303,0.38,0.683,0.314,0.32
김준태,KT,69,136,115,24,3,10,22,19,32,1,0.263,0.209,0.326,0.322,0.648,0.312,0.32
윤동희,롯데,107,423,387,111,2,45,41,28,69,3,0.340,0.287,0.333,0.354,0.687,0.318,0.31
오선진,한화,90,199,165,38,0,17,14,24,35,2,0.288,0.230,0.342,0.267,0.609,0.304,0.31
이정훈,롯데,59,171,152,45,1,17,17,13,28,1,0.349,0.296,0.357,0.362,0.719,0.336,0.3
오윤석,KT,82,223,199,50,4,24,17,13,44,3,0.305,0.251,0.313,0.387,0.700,0.32,0.29
김재환*,두산,132,484,405,89,10,40,46,72,100,3,0.266,0.220,0.343,0.331,0.674,0.321,0.28
박한결,NC,12,18,15,5,1,3,5,3,7,0,0.571,0.333,0.444,0.600,1.044,0.462,0.27
신본기,KT,40,75,54,11,1,8,7,14,8,0,0.204,0.204,0.365,0.296,0.661,0.328,0.26
박대온,NC,25,33,28,8,0,6,3,3,8,0,0.381,0.286,0.364,0.393,0.757,0.352,0.25
임병욱,Hero,80,223,208,54,6,30,36,10,75,4,0.369,0.260,0.293,0.409,0.702,0.312,0.25
최정원,NC,39,56,50,13,0,12,5,1,13,4,0.351,0.260,0.315,0.400,0.715,0.331,0.25
김재성,삼성,57,125,99,19,1,7,7,19,31,0,0.269,0.192,0.35,0.253,0.603,0.307,0.22
최항,SSG,21,35,28,8,1,3,6,5,12,0,0.438,0.286,0.382,0.429,0.811,0.371,0.21
정은원,한화,122,459,388,86,2,50,30,62,73,6,0.268,0.222,0.333,0.268,0.601,0.298,0.21
이천웅,LG,4,3,3,3,0,0,1,0,0,0,1.000,1.000,1.0,1.000,2.000,0.914,0.18
김동진,삼성,44,137,122,32,0,14,8,9,26,3,0.327,0.262,0.313,0.320,0.633,0.297,0.17
배영빈,롯데,18,18,16,5,0,2,0,1,2,1,0.357,0.313,0.353,0.438,0.791,0.362,0.16
홍현빈,KT,44,86,73,17,0,15,1,13,21,2,0.327,0.233,0.349,0.260,0.609,0.307,0.15
