선수명,팀명,승,패,세,홀드,블론,경기,선발,이닝,삼진/9,볼넷/9,홈런/9,BABIP,LOB%,ERA,FIP,kFIP,FIP-WAR,RA9-WAR
스트레일리,롯데,15,4,0,0,0,31,31,194.2,9.48,2.36,0.46,0.278,75.5,2.5,3.01,2.68,8.28,9.43
알칸타라,두산,20,2,0,0,0,31,31,198.2,8.24,1.36,0.54,0.289,79.0,2.54,3.1,2.84,8.16,9.76
브룩스,KIA,11,4,0,0,0,23,23,151.1,7.73,1.43,0.24,0.302,75.5,2.5,2.72,2.48,6.53,7.47
요키시,Hero,12,7,0,0,0,27,27,159.2,6.48,1.41,0.34,0.284,73.2,2.14,3.19,3.09,5.82,7.11
플렉센,두산,8,4,0,0,0,21,21,116.2,10.18,2.31,0.46,0.307,71.3,3.01,2.73,2.31,5.58,4.66
루친스키,NC,19,5,0,0,0,30,30,183.0,8.21,2.8,0.69,0.311,78.6,3.05,3.84,3.67,5.32,7.97
양현종,KIA,11,10,0,0,0,31,31,172.1,7.78,3.34,0.68,0.33,65.0,4.7,4.01,3.89,4.52,3.85
가뇽,KIA,11,8,0,0,0,28,28,159.2,7.95,3.66,0.39,0.326,66.2,4.34,3.73,3.62,4.51,3.7
켈리,LG,15,7,0,0,0,28,28,173.1,6.96,2.08,0.83,0.287,76.4,3.32,4.09,4.01,4.43,6.91
데스파이네,KT,15,8,0,0,0,35,34,207.2,6.59,2.95,0.78,0.329,71.9,4.33,4.3,4.28,4.31,5.56
구창모,NC,9,0,0,1,0,15,14,93.1,9.84,1.74,0.68,0.233,84.6,1.74,2.92,2.5,4.27,5.5
뷰캐넌,삼성,15,7,0,0,0,27,27,174.2,6.23,2.58,0.82,0.297,76.5,3.45,4.34,4.34,3.81,7.13
최채흥,삼성,11,6,0,0,0,26,26,146.0,7.58,3.14,0.74,0.282,70.8,3.58,4.13,4.03,3.63,5.4
문승원,SK,6,8,0,0,0,25,25,145.2,7.23,2.78,0.8,0.29,72.9,3.65,4.16,4.07,3.53,4.82
한현희,Hero,7,9,0,0,0,25,25,135.2,7.23,2.45,0.66,0.318,64.6,4.98,3.99,3.92,3.47,3.32
브리검,Hero,9,5,0,0,0,21,21,107.0,8.83,3.53,0.5,0.314,73.2,3.62,3.61,3.4,3.46,3.81
소형준,KT,13,6,0,0,0,26,24,133.0,6.23,3.05,0.41,0.321,70.3,3.86,3.91,3.93,3.41,4.07
윌슨,LG,10,8,0,0,0,25,25,144.2,6.78,2.43,0.81,0.326,66.9,4.42,4.19,4.14,3.33,3.17
임찬규,LG,10,9,0,0,0,27,26,147.2,8.41,3.96,0.85,0.309,70.8,4.08,4.34,4.2,3.32,3.77
쿠에바스,KT,10,8,0,0,0,27,27,158.0,6.27,2.62,0.91,0.282,68.8,4.1,4.52,4.53,3.23,4.66
라이트,NC,11,9,0,0,0,29,29,157.2,7.14,3.6,0.68,0.316,68.1,4.68,4.35,4.33,3.15,3.61
임기영,KIA,9,10,0,0,0,25,25,127.2,7.47,2.33,0.85,0.354,64.3,5.15,4.1,3.99,3.14,2.09
정찬헌,LG,7,4,0,0,0,19,19,110.1,6.93,2.53,0.82,0.314,73.0,3.51,4.14,4.07,2.79,3.65
조상우,Hero,5,3,33,0,3,53,0,54.1,10.6,2.98,0.5,0.329,83.6,2.15,2.91,2.49,2.27,2.57
라이블리,삼성,6,7,0,0,0,21,21,112.0,7.63,3.13,0.88,0.273,71.1,4.26,4.5,4.45,2.22,3.23
샘슨,롯데,9,12,0,0,0,25,25,130.0,6.02,2.49,0.97,0.346,64.4,5.4,4.59,4.61,2.22,1.76
서폴드,한화,10,13,0,0,0,28,28,165.0,5.29,2.29,1.04,0.33,65.3,4.91,4.88,4.98,2.19,2.36
박종훈,SK,13,11,0,0,0,29,28,157.1,7.67,4.46,0.8,0.299,68.9,4.81,4.9,4.93,2.18,3.08
김민우,한화,5,10,0,0,0,26,25,132.2,8.41,4.88,1.02,0.286,71.5,4.34,4.87,4.79,2.11,3.15
최원준,두산,10,2,0,0,0,42,18,123.0,6.88,2.56,1.1,0.314,80.0,3.8,4.64,4.59,1.88,3.96
박세웅,롯데,8,10,0,0,0,28,28,147.1,6.6,2.87,1.22,0.333,72.1,4.7,4.97,4.97,1.85,2.68
장시환,한화,4,14,0,0,0,26,26,132.2,7.8,5.02,1.02,0.319,70.0,5.02,5.15,5.14,1.72,2.58
이영하,두산,5,11,6,0,1,42,19,132.0,5.8,4.5,0.61,0.321,68.3,4.64,4.7,4.82,1.65,2.32
함덕주,두산,5,1,10,2,3,36,6,55.1,8.95,3.42,0.33,0.327,69.7,3.9,3.07,2.79,1.64,2.26
