date,sales
2026년 03월 02일,45.37
2026년 03월 23일,52.86
2026년 02월 15일,81.27
2026년 02월 27일,65.28
2026년 01월 09일,53.12
2026년 03월 19일,61.44
2026년 03월 04일,48.68
2026년 02월 24일,41.34
2026년 02월 18일,43.57
2026년 02월 10일,38.28
2026년 02월 11일,36.96
2026년 02월 02일,39.42
2026년 03월 13일,61.25
2026년 01월 29일,44.95
2026년 02월 09일,48.14
2026년 03월 12일,48.51
2026년 01월 11일,83.9
2026년 01월 03일,77.56
2026년 03월 21일,98.99
2026년 03월 15일,95.12
2026년 02월 25일,47.47
2026년 01월 21일,31.17
2026년 03월 29일,95.78
2026년 02월 07일,89.24
2026년 02월 04일,36.47
2026년 02월 03일,33.44
2026년 02월 17일,51.31
2026년 03월 10일,56.46
2026년 03월 06일,64.64
2026년 02월 26일,56.78
2026년 02월 06일,50.32
2026년 02월 12일,45.7
2026년 02월 21일,89.45
2026년 01월 25일,84.24
2026년 02월 05일,47.8
2026년 03월 28일,95.72
2026년 02월 16일,46.95
2026년 03월 03일,50.22
2026년 01월 17일,82.48
2026년 03월 18일,47.73
2026년 03월 26일,59.87
2026년 01월 28일,33.57
2026년 02월 12일,50.35
2026년 02월 28일,
2026년 01월 05일,40.89
2026년 02월 20일,60.56
2026년 01월 23일,57.27
2026년 03월 22일,91.2
2026년 01월 04일,69.65
2026년 03월 09일,58.32
2026년 02월 01일,79.32
2026년 03월 27일,67.51
2026년 02월 13일,65.94
2026년 02월 19일,54.1
2026년 02월 23일,45.82
2026년 03월 11일,
2026년 01월 26일,37.86
2026년 01월 09일,51.21
2026년 01월 19일,
2026년 01월 01일,48.12
2026년 03월 25일,52.88
2026년 03월 01일,92.02
2026년 01월 24일,87.43
2026년 03월 05일,52.67
2026년 03월 07일,93.98
2026년 01월 08일,37.77
2026년 03월 31일,55.9
2026년 01월 15일,48.81
2026년 03월 30일,56.05
2026년 01월 16일,45.69
2026년 01월 31일,83.03
2026년 01월 30일,56.99
2026년 01월 12일,27.83
2026년 01월 20일,37.43
2026년 01월 22일,50.44
2026년 02월 22일,80.31
2026년 01월 27일,35.48
2026년 01월 07일,42.25
2026년 03월 16일,
2026년 03월 21일,101.31
2026년 01월 02일,44.98
2026년 01월 18일,73.77
2026년 03월 08일,94.83
2026년 03월 24일,49.61
2026년 01월 06일,19.87
2026년 03월 20일,66.5
2026년 01월 10일,80.52
2026년 03월 17일,
2026년 01월 13일,31.34
2026년 02월 08일,91.18
